ID,Name,Description,Ubertip
I00A,医疗药剂,,恢复30+15%生命值最大的生命值。|n|n|cff999999小巧方便携带。|r
I00B,装备补给箱,,
I00C,医用补给箱,,
I00D,止痛药,能够临时提高150点生命值上限，并且在接下来的60秒逐渐丢失。|n|n|cff999999\"容易上瘾\"-某杂鱼士兵|r,能够临时提高150点生命值上限，并且在接下来的60秒逐渐丢失。|n|n|cff999999\"容易上瘾\"-某杂鱼士兵|r
I00E,医疗箱,,恢复80%生命值最大的生命值。解除[流血/骨折]状态。|n|n|cff999999居家旅行必备医用品。|r
I00F,弹药补给箱,,
I00G,|cff993366高级速射模块|r,在基础上进行了改进，能够进一步提升射速|n|cffffcc00攻速百分比:50.0% 穿透百分比:20.0%|r,在基础上进行了改进，能够进一步提升射速|n|cffffcc00攻速百分比:50.0% 穿透百分比:20.0%|r
I00H,|cff00ff00标准速射模块|r,标准式速射模块，能够有效的增加射速|n|cffffcc00攻速百分比:10.0%|r,标准式速射模块，能够有效的增加射速|n|cffffcc00攻速百分比:10.0%|r
I00I,新兵勋章,新兵勋章，鼓舞那些有勇气战斗的战士。|n|cffffcc00生命:50 力量:5 敏捷:5 智力:5|r,新兵勋章，鼓舞那些有勇气战斗的战士。|n|cffffcc00生命:50 力量:5 敏捷:5 智力:5|r
I00J,军用匕首,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00K,军用手斧,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00L,|cff339966定制匕首|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00M,|cff339966定制手斧|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00N,高爆手雷,可投掷的战术装备。,投掷手雷到目标位置，在目标位置造成200点范围伤害。爆炸范围300。
I00O,燃烧手雷,可投掷的战术装备。,投掷燃烧雷到指定位置，持续造成范围的火焰伤害。
I00P,信号弹-机炮支援,可投掷的战术装备。,投掷到指定位置以给高空的飞机定位火力点。3秒后会对区域进行40mm机炮覆盖打击。|n|n|cff999999天降正义！|r
I00Q,军火补给箱,,
I00R,UAV-A60,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I00S,|cff993366白楼剑|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00T,|cff993366楼观剑|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I00U,UAV-F1,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I00V,对丧尸特型震撼弹,可投掷的战术装备。,针对僵尸特殊制作的简易震撼装置，投掷手雷到目标位置，在目标位置造成范围晕眩3s。不会对人类造成影响。|n|n|cff999999终于不用担心闪到队友了。|r
I00W,弹药改进模块,攻击力+50%，魔法值+50%,攻击力+50%，魔法值+50%
I00X,C-穿甲弹,C级穿甲弹，能够有效的击穿部分装甲|n|cffffcc00穿透百分比:20.0%|r,C级穿甲弹，能够有效的击穿部分装甲|n|cffffcc00穿透百分比:20.0%|r
I00Y,C-高速弹,C级高速弹，能够快速的射击|n|cffffcc00敏捷:4 攻速百分比:15.0%|r,C级高速弹，能够快速的射击|n|cffffcc00敏捷:4 攻速百分比:15.0%|r
I00Z,Type1防弹插板,Type防弹插板，战场上的钢板，属于第一代装备|n|cffffcc00生命:20 防御:5 闪避百分比:-25.0% debuff抵抗百分比:10.0%|r,Type防弹插板，战场上的钢板，属于第一代装备|n|cffffcc00生命:20 防御:5 闪避百分比:-25.0% debuff抵抗百分比:10.0%|r
I010,小型弹链箱,增加10%的弹夹容量。,增加10%的弹夹容量。
I011,微型侦查装置,放置一个微型侦查装置。|n|n|cff999999意外地非常实用，方便监视追踪空投。|r,放置一个微型侦查装置。|n|n|cff999999意外地非常实用，方便监视追踪空投。|r
I012,IOP外骨骼-X2,IOP外骨骼-X2型，进一步提高效率，得到更好的闪避提升|n|cffffcc00生命:20 闪避百分比:15.0%|r,IOP外骨骼-X2型，进一步提高效率，得到更好的闪避提升|n|cffffcc00生命:20 闪避百分比:15.0%|r
I013,|cff00ff00EOT-516全息瞄具|r,EOT-516全息瞄具，进一步提高，为武器增加稳定性|n|cffffcc00攻击:4 稳定百分比:150.0%|r,EOT-516全息瞄具，进一步提高，为武器增加稳定性|n|cffffcc00攻击:4 稳定百分比:150.0%|r
I014,|cff00ff00COG 红点瞄具|r,COG红点瞄具，废弃的瞄具，能够略微提高稳定性|n|cffffcc00稳定百分比:150.0%|r,COG红点瞄具，废弃的瞄具，能够略微提高稳定性|n|cffffcc00稳定百分比:150.0%|r
I015,|cff00ff00中型弹链箱|r,中型弹链箱，能够通过模块化扩充子弹数量|n|cffffcc00闪避百分比:-10.0% 魔法百分比:25.0%|r,中型弹链箱，能够通过模块化扩充子弹数量|n|cffffcc00闪避百分比:-10.0% 魔法百分比:25.0%|r
I016,|cff00ff00Type2防弹插板|r,Type2防弹插板，第二代装备，能够更有力的保护战士|n|cffffcc00防御:10 闪避百分比:-10.0%|r,Type2防弹插板，第二代装备，能够更有力的保护战士|n|cffffcc00防御:10 闪避百分比:-10.0%|r
I017,|cff00ff00AC3-消音器|r,AC3-消音器，为枪口添加配件，增加了稳定性|n|cffffcc00稳定百分比:200.0%|r,AC3-消音器，为枪口添加配件，增加了稳定性|n|cffffcc00稳定百分比:200.0%|r
I018,生命护身符,增加最大生命值。,增加最大生命值。
I019,C-空尖弹,C级空尖弹，能够有效的提升攻击|n|cffffcc00攻击百分比:20.0%|r,C级空尖弹，能够有效的提升攻击|n|cffffcc00攻击百分比:20.0%|r
I01A,|cff00ff00突击勋章|r,突击勋章，鼓舞前线士兵，进攻是最好的防守！|n|cffffcc00力量:10 敏捷:15|r,突击勋章，鼓舞前线士兵，进攻是最好的防守！|n|cffffcc00力量:10 敏捷:15|r
I01B,|cff3366ff扩充弹夹箱|r,扩充弹夹箱，为武器安装扩充模块，增加子弹上限|n|cffffcc00闪避百分比:-10.0% 魔法百分比:50.0%|r,扩充弹夹箱，为武器安装扩充模块，增加子弹上限|n|cffffcc00闪避百分比:-10.0% 魔法百分比:50.0%|r
I01C,|cff3366ff全地行军鞋|r,全地行军靴，据说能在各种地形上快速行走|n|cffffcc00闪避百分比:15.0%|r,全地行军靴，据说能在各种地形上快速行走|n|cffffcc00闪避百分比:15.0%|r
I01D,|cff3366ff重型防护服|r,重型防护服，能够有效抵挡攻击，但是会造成行动不便|n|cffffcc00生命:100 防御:20 闪避百分比:-10.0% debuff抵抗百分比:25.0%|r,重型防护服，能够有效抵挡攻击，但是会造成行动不便|n|cffffcc00生命:100 防御:20 闪避百分比:-10.0% debuff抵抗百分比:25.0%|r
I01E,|cff3366ff精英勋章|r,精英勋章，赞美那些勇往直前的战场精英。|n|cffffcc00力量:15 敏捷:15 智力:15|r,精英勋章，赞美那些勇往直前的战场精英。|n|cffffcc00力量:15 敏捷:15 智力:15|r
I01F,|cff3366ff中级速射模块|r,在基础速射模块上做了调整，可以使得射速变得略快|n|cffffcc00攻速百分比:25.0% 穿透百分比:10.0%|r,在基础速射模块上做了调整，可以使得射速变得略快|n|cffffcc00攻速百分比:25.0% 穿透百分比:10.0%|r
I01G,|cff993366大容量弹链箱|r,进一步扩大容量弹夹，能够增加大量子弹|n|cffffcc00魔法百分比:100.0%|r,进一步扩大容量弹夹，能够增加大量子弹|n|cffffcc00魔法百分比:100.0%|r
I01H,|cff993366葬送勋章|r,陪送给英勇奋战的每一位战士，沐浴鲜血，葬送敌人|n|cffffcc00力量:25 敏捷:25 智力:25|r,陪送给英勇奋战的每一位战士，沐浴鲜血，葬送敌人|n|cffffcc00力量:25 敏捷:25 智力:25|r
I01I,|cff993366ITI 红点瞄准器|r,ITI系列红点瞄准镜，具有特别精准的瞄准度|n|cffffcc00攻击:10 稳定百分比:400.0%|r,ITI系列红点瞄准镜，具有特别精准的瞄准度|n|cffffcc00攻击:10 稳定百分比:400.0%|r
I01J,|cffff0000极限弹链箱|r,将弹链箱的能力扩充至最大，最大化子弹量|n|cffffcc00魔法百分比:200.0%|r,将弹链箱的能力扩充至最大，最大化子弹量|n|cffffcc00魔法百分比:200.0%|r
I01K,|cffff0000心肺加速器|r,心肺加速器，提高人体的各个器官的血液循环能力|n|cffffcc00生命:450 攻速百分比:75.0%|r,心肺加速器，提高人体的各个器官的血液循环能力|n|cffffcc00生命:450 攻速百分比:75.0%|r
I01L,|cffff0000荣耀之星|r,荣耀之星，属于士兵的最高级勋章|n|cffffcc00生命:100 防御:10 力量:35 敏捷:35 智力:35 爆头百分比:20.0% 闪避百分比:20.0% 稳定百分比:20.0% 攻击百分比:20.0%|r,荣耀之星，属于士兵的最高级勋章|n|cffffcc00生命:100 防御:10 力量:35 敏捷:35 智力:35 爆头百分比:20.0% 闪避百分比:20.0% 稳定百分比:20.0% 攻击百分比:20.0%|r
I01M,|cff333333无限弹链箱|r,|cff333333不再消耗弹夹|r,|cff333333不再消耗弹夹|r
I01N,军用铁铲,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01O,|cff339966AMP-仪式剑|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01P,|cff339966AMP-NCO军刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01Q,|cff00ff00Box-激光刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01R,|cff00ff00Box-电击枪|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01S,EOT-铁壁手套,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01T,EOT-水晶光纤-技巧剑,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01U,|cff339966AMP-百胜刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01V,INF-A-迫击型,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I01W,通用弹夹-非玩家,可以补充一次弹药。重装弹夹必须要有弹夹|cffff0000。[不与玩家单位弹夹通用]|r,可以补充一次弹药。重装弹夹必须要有弹夹|cffff0000。[不与玩家单位弹夹通用]|r
I01X,INF-C-机炮,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I01Y,|cff339966AMP-Ka-Bar战斗刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I01Z,应急外科医疗包,使用后能有效|cffffff00治愈流血和骨折，并且回复少许生命值|r。|n|n|cff808080专治跌打损伤。|r,使用后能有效|cffffff00治愈流血和骨折，并且回复少许生命值|r。|n|n|cff808080专治跌打损伤。|r
I020,实验性-能力强化药物,实验中的基因药物，能够强化单位的体质。,实验中的药物，使用后能够有效改良生物的机体能力，但是目前不清楚其副作用。|cffffff00使用后会随机提升角色的各方面属性。|r需要注意也有可能出现负面的不良反应，将会|cffff0000损失15%的生命|r。|n|n|cff999999这个药物非常的可疑！|r
I021,IOP外骨骼-X1,IOP外骨骼-X1型，能够得到小幅度的闪避提升|n|cffffcc00生命:25 闪避百分比:8.0%|r,IOP外骨骼-X1型，能够得到小幅度的闪避提升|n|cffffcc00生命:25 闪避百分比:8.0%|r
I022,AMP 红点瞄具,AMP红点瞄具，能够有效增加稳定。|n|cffffcc00稳定百分比:100.0%|r,AMP红点瞄具，能够有效增加稳定。|n|cffffcc00稳定百分比:100.0%|r
I023,防弹头盔,军用常备，免受些许子弹等击穿头盔|n|cffffcc00防御:3|r,军用常备，免受些许子弹等击穿头盔|n|cffffcc00防御:3|r
I024,空降支援地标,能在指定的位置放置空降地标。完成后，该位置会空降一队盟友的|cffffff00步兵小队[2基础步兵+1春田]|r部署到该位置进行防御。|cffffff00请确保地标建造时附近区域的安全！|n|r|n|cff999999基础的步枪队伍而已。|r,能在指定的位置放置空降地标。完成后，该位置会空降一队盟友的|cffffff00步兵小队[2基础步兵+1春田]|r部署到该位置进行防御。|cffffff00请确保地标建造时附近区域的安全！|n|r|n|cff999999基础的步枪队伍而已。|r
I025,|cff3366ff爪子刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I026,反异形烟雾手雷,可投掷的战术装备。,在目的地投掷一个烟雾手雷，释放的烟雾对|cffffff00小型异形体|r能够造成减速效果。
I027,|cff3366ffA-高速弹|r,A级高速弹，保护我的队友，痛击我的敌人|n|cffffcc00攻速百分比:50.0% 攻击百分比:35.0%|r,A级高速弹，保护我的队友，痛击我的敌人|n|cffffcc00攻速百分比:50.0% 攻击百分比:35.0%|r
I028,|cff993366龙之侍从|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I029,EOT-翡翠宝石剑,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02A,EOT-裂爪刀,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02B,|cff3366ffA-空尖弹|r,A级空尖弹，光滑尖锐的弹头击穿没有护甲的敌人|n|cffffcc00攻击百分比:45.0%|r,A级空尖弹，光滑尖锐的弹头击穿没有护甲的敌人|n|cffffcc00攻击百分比:45.0%|r
I02C,|cff339966B-空尖弹|r,B级空尖弹，表面有点光泽|n|cffffcc00攻击百分比:30.0%|r,B级空尖弹，表面有点光泽|n|cffffcc00攻击百分比:30.0%|r
I02D,军用指虎,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02E,D-高速弹,D级高速弹，效果有点劣质|n|cffffcc00攻速百分比:10.0% 攻击百分比:10.0%|r,D级高速弹，效果有点劣质|n|cffffcc00攻速百分比:10.0% 攻击百分比:10.0%|r
I02F,D-穿甲弹,D级穿甲弹，效果有点劣质|n|cffffcc00穿透百分比:10.0%|r,D级穿甲弹，效果有点劣质|n|cffffcc00穿透百分比:10.0%|r
I02G,军用长剑,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02H,|cff3366ffA-穿甲弹|r,A级穿甲弹，一枚子弹，一个敌人|n|cffffcc00力量:6 敏捷:6 智力:6 爆头百分比:20.0% 穿透百分比:50.0%|r,A级穿甲弹，一枚子弹，一个敌人|n|cffffcc00力量:6 敏捷:6 智力:6 爆头百分比:20.0% 穿透百分比:50.0%|r
I02I,D-空尖弹,D级空尖弹，效果有点劣质|n|cffffcc00攻击百分比:20.0%|r,D级空尖弹，效果有点劣质|n|cffffcc00攻击百分比:20.0%|r
I02J,|cff339966B-穿甲弹|r,B级穿甲弹，能够穿透大部分敌人的穿甲|n|cffffcc00力量:3 敏捷:3 智力:3 爆头百分比:10.0% 穿透百分比:35.0%|r,B级穿甲弹，能够穿透大部分敌人的穿甲|n|cffffcc00力量:3 敏捷:3 智力:3 爆头百分比:10.0% 穿透百分比:35.0%|r
I02K,E-穿甲弹,E级穿甲弹，可能有点损坏？|n|cffffcc00穿透百分比:5.0%|r,E级穿甲弹，可能有点损坏？|n|cffffcc00穿透百分比:5.0%|r
I02L,|cff00ff00Box-巨人国王剑|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02M,E-高速弹,E级高速弹，可能有点损坏？|n|cffffcc00攻速百分比:10.0%|r,E级高速弹，可能有点损坏？|n|cffffcc00攻速百分比:10.0%|r
I02N,E-空尖弹,E级空尖弹，可能有点损坏？|n|cffffcc00攻击百分比:10.0%|r,E级空尖弹，可能有点损坏？|n|cffffcc00攻击百分比:10.0%|r
I02O,|cff339966B-高速弹|r,B级高速弹，强力的子弹快速击打敌人|n|cffffcc00攻速百分比:30.0% 攻击百分比:40.0%|r,B级高速弹，强力的子弹快速击打敌人|n|cffffcc00攻速百分比:30.0% 攻击百分比:40.0%|r
I02P,护目镜,军用常备，能够抵挡一定的灰尘沙土及柔光|n|cffffcc00爆头百分比:20.0% 稳定百分比:50.0%|r,军用常备，能够抵挡一定的灰尘沙土及柔光|n|cffffcc00爆头百分比:20.0% 稳定百分比:50.0%|r
I02Q,|cff3366ff英雄的遗产|r,进攻是最好的防守|n|cffffcc00稳定百分比:30.0% 穿透百分比:30.0% 攻击百分比:30.0%|r,进攻是最好的防守|n|cffffcc00稳定百分比:30.0% 穿透百分比:30.0% 攻击百分比:30.0%|r
I02R,|cff3366ff机械义肢|r,机械金属打造的义肢，也可以作为辅助手装备|n|cffffcc00防御:-10 敏捷:10 攻速百分比:50.0% 爆头百分比:30.0% 稳定百分比:200.0%|r,机械金属打造的义肢，也可以作为辅助手装备|n|cffffcc00防御:-10 敏捷:10 攻速百分比:50.0% 爆头百分比:30.0% 稳定百分比:200.0%|r
I02S,|cff3366ff十字军的奖章|r,向往着胜利的军章|n|cffffcc00生命:50 魔法:10 攻击:5 防御:5 力量:5 敏捷:5 智力:5|r,向往着胜利的军章|n|cffffcc00生命:50 魔法:10 攻击:5 防御:5 力量:5 敏捷:5 智力:5|r
I02T,绝缘衣,能够与“特殊物体”绝缘的衣物，请用途不明|n|cffffcc00防御:5 debuff抵抗百分比:30.0%|r,能够与“特殊物体”绝缘的衣物，请用途不明|n|cffffcc00防御:5 debuff抵抗百分比:30.0%|r
I02U,|cff3366ff流军刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02V,|cff3366ff纳米装甲|r,用纳米材质打造而成的装甲，十分坚固，但由于技术问题，导致射击稳定和机能性质协调失衡|n|cffffcc00生命:500 防御:20 闪避百分比:-100.0% 稳定百分比:-100.0% debuff抵抗百分比:100.0%|r,用纳米材质打造而成的装甲，十分坚固，但由于技术问题，导致射击稳定和机能性质协调失衡|n|cffffcc00生命:500 防御:20 闪避百分比:-100.0% 稳定百分比:-100.0% debuff抵抗百分比:100.0%|r
I02W,防毒面具,军用防毒面具，能够简单的保护不受感染|n|cffffcc00生命:30 防御:3 力量:2 敏捷:2 智力:2 debuff抵抗百分比:35.0%|r,军用防毒面具，能够简单的保护不受感染|n|cffffcc00生命:30 防御:3 力量:2 敏捷:2 智力:2 debuff抵抗百分比:35.0%|r
I02X,|cff993366悲痛之刃|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02Y,|cff993366克鲁克尔|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I02Z,|cffff0000等离子长剑|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I030,|cff33333340米大长刀|r,|cff999999近战武器-装备后可以进行近战。|r,|cff999999近战武器-装备后可以进行近战。|r
I031,鸡毛信,一份未拆封的鸡毛信|n|cffffcc00力量:1 敏捷:1 智力:1|r,一份未拆封的鸡毛信|n|cffffcc00力量:1 敏捷:1 智力:1|r
I032,|cff3366ff夜莺的歌声|r,当炮火再次响起，夜莺敲响钟楼，城楼早已空无一人|n|cffffcc00闪避百分比:45.0%|r,当炮火再次响起，夜莺敲响钟楼，城楼早已空无一人|n|cffffcc00闪避百分比:45.0%|r
I033,|cff3366ff军用锁甲披风|r,军用常备，披在身上显得特别威风|n|cffffcc00防御:12 力量:6 智力:2|r,军用常备，披在身上显得特别威风|n|cffffcc00防御:12 力量:6 智力:2|r
I034,托列斯夫军衣,只是一件破旧的军衣|n|cffffcc00防御:5 debuff抵抗百分比:10.0%|r,只是一件破旧的军衣|n|cffffcc00防御:5 debuff抵抗百分比:10.0%|r
I035,战术护手,军用常备，能够保护好手腕免受一定损伤|n|cffffcc00防御:3 敏捷:3|r,军用常备，能够保护好手腕免受一定损伤|n|cffffcc00防御:3 敏捷:3|r
I036,防弹裤式护踝,防弹裤式护踝，具有防弹效果|n|cffffcc00防御:5 敏捷:2|r,防弹裤式护踝，具有防弹效果|n|cffffcc00防御:5 敏捷:2|r
I037,防弹作战靴,防弹作战靴，具有防弹效果|n|cffffcc00防御:5 力量:3|r,防弹作战靴，具有防弹效果|n|cffffcc00防御:5 力量:3|r
I038,战术背心,军用常备，具有一定的保护作用|n|cffffcc00生命:30 防御:2 debuff抵抗百分比:10.0%|r,军用常备，具有一定的保护作用|n|cffffcc00生命:30 防御:2 debuff抵抗百分比:10.0%|r
I039,战术护膝,军用常备，能够防止膝盖受到严重损伤|n|cffffcc00防御:3 力量:2|r,军用常备，能够防止膝盖受到严重损伤|n|cffffcc00防御:3 力量:2|r
I03A,战术护肘,军用常备，能够保护护肘免受严重损伤|n|cffffcc00防御:3 智力:2|r,军用常备，能够保护护肘免受严重损伤|n|cffffcc00防御:3 智力:2|r
I03B,尼龙纤维面罩,军用常备，能够防止一定的灰尘沙土|n|cffffcc00防御:3 debuff抵抗百分比:20.0%|r,军用常备，能够防止一定的灰尘沙土|n|cffffcc00防御:3 debuff抵抗百分比:20.0%|r
I03C,|cff00ff00伪装披风|r,伪装披风，在部分地形看起来可能会显得隐蔽一点|n|cffffcc00敏捷:2 爆头百分比:8.0% 闪避百分比:15.0% debuff抵抗百分比:10.0%|r,伪装披风，在部分地形看起来可能会显得隐蔽一点|n|cffffcc00敏捷:2 爆头百分比:8.0% 闪避百分比:15.0% debuff抵抗百分比:10.0%|r
I03D,|cff00ff00IOP外骨骼-T1|r,IOP外骨骼T1型，外骨骼装甲能够提高行动力|n|cffffcc00生命:20 防御:5 闪避百分比:10.0%|r,IOP外骨骼T1型，外骨骼装甲能够提高行动力|n|cffffcc00生命:20 防御:5 闪避百分比:10.0%|r
I03E,|cff00ff00中型防护服|r,中型防护服，能够有效抵挡攻击|n|cffffcc00生命:50 防御:10 闪避百分比:-10.0% debuff抵抗百分比:15.0%|r,中型防护服，能够有效抵挡攻击|n|cffffcc00生命:50 防御:10 闪避百分比:-10.0% debuff抵抗百分比:15.0%|r
I03F,防护镜,保护眼睛免受强烈裂风等影响|n|cffffcc00爆头百分比:10.0% 稳定百分比:100.0%|r,保护眼睛免受强烈裂风等影响|n|cffffcc00爆头百分比:10.0% 稳定百分比:100.0%|r
I03G,大型空投地标,在指定区域建造地标，完成后该区域会收到3个随机的空投补给箱。|n|cff999999空投大礼包。|r,在指定区域建造地标，完成后该区域会收到3个随机的空投补给箱。|n|cff999999空投大礼包。|r
I03H,UAV-M1,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03I,PHANTOM3-B1,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03J,PHANTOM3-95式,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03K,PHANTOM3-AA,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03L,PHANTOM3-T20,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03M,INSPIRE-Ti9,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03N,INSPIRE-S6,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03O,INSPIRE-B2,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
I03P,定制FNC,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n,提供角色基础的属性。|n|cffffff00击杀数量每60可以兑换一次改造机会。|r|n
I03Q,Mavic-F20,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r,|cff999999无人科技生产的单兵火力支援兵器，能够自动护卫使用者，型号众多能够适合不同需求的用户。|r
